datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2022/05/06 17:32:00,AQUA_M-T,Argentina,Santiago del Estero,Moreno,,,,,-26.87652,-63.07787,43.7
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,COMODORO,Amazonia,,,,-13.08915,-60.02111,50.3
2022/05/06 17:34:00,AQUA_M-T,Brasil,GOIAS,CAIAPONIA,Cerrado,,,,-17.42647,-51.99159,16.8
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,COMODORO,Amazonia,,,,-13.09061,-60.03199,13.7
2022/05/06 17:32:00,AQUA_M-T,Argentina,Santiago del Estero,Figueroa,,,,,-27.5153,-63.94942,52.2
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,COMODORO,Amazonia,,,,-13.09885,-60.01973,177.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,COMODORO,Amazonia,,,,-13.10032,-60.03063,28.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,NOVO HORIZONTE DO NORTE,Amazonia,,,,-11.43906,-57.23052,5.2
2022/05/06 17:30:00,AQUA_M-T,Argentina,Corrientes,Mercedes,,,,,-29.12426,-57.80185,8.8
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,,,,-13.16847,-53.36935,26.2
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,,,,-12.08675,-54.51247,34.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUIUTABA,Cerrado,,,,-18.82041,-49.54616,14.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,ITAUBA,Amazonia,,,,-11.21265,-55.27708,19.6
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Amazonia,,,,-13.19296,-56.88564,9.5
2022/05/06 17:30:00,AQUA_M-T,Argentina,Corrientes,Mercedes,,,,,-29.14501,-57.83546,5.9
